"day","match","clicks","impressions","cost","avgpos","qualityscore","conv"
"2013-10-30","Exact",0,2,0,2,8,0
"2013-10-16","Broad",0,1,0,7,4,0
"2013-10-15","Phrase",0,3,0,1,7,0
"2013-11-10","Exact",0,1,0,1,6,0
"2013-10-14","Exact",0,1,0,4,1,0
"2013-11-04","Broad",1,17,1,2.1,7,0
"2013-11-06","Broad",7,300,9.68,2.8,6,0
"2013-10-26","Broad",0,3,0,1.3,10,0
"2013-11-03","Phrase",0,1,0,1,6,0
"2013-10-22","Broad",0,9,0,3.4,6,0
"2013-10-28","Exact",0,1,0,1,6,0
"2013-11-10","Broad",0,3,0,1,6,0
"2013-11-04","Broad",3,22,2.8,1.9,7,0
"2013-10-17","Exact",0,1,0,1,7,0
"2013-10-27","Exact",0,1,0,1,9,0
"2013-11-06","Phrase",0,2,0,2,6,0
"2013-10-22","Phrase",0,45,0,3.2,4,0
"2013-10-20","Broad",0,1,0,2,6,0
"2013-10-20","Broad",0,4,0,3.5,7,0
"2013-11-11","Broad",0,4,0,4,6,0
"2013-11-10","Exact",0,1,0,2,4,0
"2013-10-14","Phrase",3,47,4.38,3.7,6,0
"2013-10-18","Broad",0,3,0,2.7,9,0
"2013-10-23","Broad",9,281,6.67,3.6,6,0
"2013-11-06","Exact",0,6,0,1.3,6,0
"2013-11-12","Broad",2,3,1.42,2,6,0
"2013-10-20","Broad",0,2,0,2.5,6,0
"2013-11-10","Broad",0,3,0,1.3,6,0
"2013-11-10","Broad",0,2,0,5.5,7,0
"2013-11-10","Phrase",1,12,0.4,1,7,0
"2013-10-14","Broad",0,85,0,5.9,6,0
"2013-11-03","Broad",0,2,0,5.5,6,0
"2013-10-24","Broad",0,3,0,3.7,4,0
"2013-11-01","Broad",0,6,0,1,6,0
"2013-10-30","Broad",2,29,1.1,2.5,4,0
"2013-11-11","Broad",0,1,0,6,7,0
"2013-11-09","Broad",0,4,0,2,6,0
"2013-10-14","Phrase",0,2,0,4,6,0
"2013-11-06","Broad",0,10,0,4.2,6,0
"2013-10-17","Broad",1,18,0.51,1.4,7,0
"2013-11-11","Exact",0,1,0,1,4,0
"2013-11-03","Broad",0,1,0,2,6,0
"2013-10-28","Phrase",0,2,0,6.5,4,0
"2013-11-09","Broad",1,6,0.94,1.2,7,0
"2013-10-20","Broad",0,1,0,2,7,0
"2013-11-12","Broad",0,6,0,5.2,6,0
"2013-10-24","Phrase",0,2,0,8.5,6,0
"2013-10-20","Phrase",1,3,0.95,4,6,0
"2013-10-22","Broad",0,15,0,2.5,6,0
"2013-10-15","Broad",0,2,0,1,6,0
"2013-11-12","Broad",0,2,0,3.5,6,0
"2013-10-28","Broad",1,4,0.91,2.3,7,0
"2013-11-06","Broad",3,33,2.56,1.8,7,0
"2013-10-29","Broad",0,9,0,4,6,0
"2013-11-09","Broad",1,6,0.99,1.5,10,0
"2013-10-27","Broad",1,4,1,4.5,6,0
"2013-10-27","Broad",0,20,0,3,4,0
"2013-10-17","Broad",3,29,1.46,2,7,1
"2013-11-08","Broad",0,17,0,2.3,7,0
"2013-11-01","Broad",1,1,0.89,5,7,0
"2013-10-15","Broad",0,2,0,5.5,7,0
"2013-11-06","Broad",1,98,0.68,2.2,7,0
